name_with_owner,stargazers,created_at,pushed_at,primary_language,releases_total,issues_total,issues_closed_total,pull_requests_merged_total
hiyouga/LlamaFactory,74257,2023-05-28T10:09:12Z,2026-08-20T10:53:39Z,Python,36,8029,7034,1020
unslothai/unsloth,74093,2023-11-29T16:50:09Z,2026-08-20T23:04:14Z,Python,55,4206,3283,3598
josephmisiti/awesome-machine-learning,74088,2014-07-15T19:11:19Z,2026-08-11T21:49:59Z,Python,0,118,117,929
Eugeny/tabby,74024,2016-12-23T09:06:10Z,2026-08-18T04:03:25Z,TypeScript,209,6327,3624,1580
datawhalechina/hello-agents,73952,2025-09-07T09:50:24Z,2026-08-18T06:51:35Z,Python,3,309,247,171
unionlabs/union,73852,2023-05-16T22:33:39Z,2026-07-25T18:20:02Z,Rust,113,1842,1714,3128
twitter/the-algorithm,73846,2023-03-27T14:57:57Z,2025-09-08T18:40:54Z,Scala,0,1082,752,2
thedaviddias/Front-End-Checklist,73586,2017-10-16T10:12:36Z,2026-08-14T05:59:25Z,MDX,2,155,152,180
vuejs/awesome-vue,73538,2015-10-20T00:16:14Z,2026-07-24T10:16:04Z,,0,234,193,3655
binhnguyennus/awesome-scalability,73425,2017-12-27T03:46:40Z,2026-01-04T03:51:47Z,,0,0,0,37
Panniantong/Agent-Reach,73370,2026-02-24T02:10:24Z,2026-08-12T03:39:49Z,Python,7,204,139,172
CompVis/stable-diffusion,73328,2022-08-10T14:36:44Z,2024-06-18T01:53:49Z,Jupyter Notebook,0,740,200,5
strapi/strapi,72982,2015-09-30T15:34:48Z,2026-08-20T15:44:25Z,TypeScript,541,12202,11952,10382
danielmiessler/SecLists,72959,2012-02-19T01:30:18Z,2026-08-20T10:36:04Z,PHP,30,327,319,709
ComposioHQ/awesome-claude-skills,72900,2025-10-17T07:15:01Z,2026-08-10T21:45:44Z,Python,0,143,11,38
microsoft/ai-agents-for-beginners,72889,2024-11-28T10:42:52Z,2026-08-18T11:47:04Z,Jupyter Notebook,0,125,124,505
fffaraz/awesome-cpp,72850,2014-07-17T08:51:11Z,2026-08-19T05:32:17Z,,0,593,360,885
NationalSecurityAgency/ghidra,72586,2019-03-01T03:27:48Z,2026-08-20T13:07:30Z,Java,55,6127,4582,586
juliangarnier/anime,72283,2016-03-13T21:37:45Z,2026-08-17T22:01:29Z,JavaScript,37,849,752,87
hakimel/reveal.js,72158,2011-06-07T18:54:22Z,2026-05-21T19:20:20Z,JavaScript,51,2513,1710,415
pallets/flask,72143,2010-04-06T11:11:59Z,2026-08-16T18:35:35Z,Python,38,2762,2762,1633
chrislgarry/Apollo-11,72137,2014-04-03T15:45:02Z,2026-07-15T02:29:53Z,Assembly,0,0,0,0
OpenBB-finance/OpenBB,72083,2020-12-20T10:46:38Z,2026-07-30T17:33:42Z,Python,56,2325,2274,4303
moby/moby,71986,2013-01-18T18:10:57Z,2026-08-20T21:14:53Z,Go,308,23591,20310,23052
daytonaio/daytona,71943,2024-02-06T08:21:20Z,2026-07-24T07:12:07Z,,205,1244,932,2505
protocolbuffers/protobuf,71748,2014-08-26T15:52:15Z,2026-08-20T22:56:52Z,C++,219,6899,6775,9765
toeverything/AFFiNE,71715,2022-07-31T18:45:21Z,2026-08-20T23:01:24Z,TypeScript,567,4004,3399,9352
nektos/act,71580,2019-01-02T19:53:43Z,2026-08-09T22:50:11Z,Go,97,1343,1082,1061
Asabeneh/30-Days-Of-Python,71491,2019-11-19T17:24:16Z,2026-08-20T19:58:48Z,Python,0,180,90,145
666ghj/MiroFish,71280,2025-11-26T04:23:02Z,2026-08-17T05:17:34Z,Python,3,399,338,27
binary-husky/gpt_academic,71217,2023-03-20T09:05:13Z,2026-01-25T12:33:10Z,Python,32,1784,1486,228
prakhar1989/awesome-courses,70550,2014-11-15T18:36:49Z,2023-05-04T12:49:34Z,,0,86,41,194
ansible/ansible,70409,2012-03-06T14:58:02Z,2026-08-19T18:12:49Z,Python,252,33439,32913,40061
swiftlang/swift,70264,2015-10-23T21:15:07Z,2026-08-20T22:39:12Z,Swift,70,18147,10504,60722
FoundationAgents/MetaGPT,69916,2023-06-30T09:04:55Z,2026-01-21T10:12:33Z,Python,22,974,957,673
expressjs/express,69382,2009-06-26T18:56:01Z,2026-08-01T09:58:10Z,JavaScript,165,4067,3962,550
ruvnet/ruflo,68489,2025-06-02T21:24:20Z,2026-08-20T12:38:01Z,TypeScript,1000,1637,1064,568
base/node,68428,2023-02-01T13:55:02Z,2026-07-22T19:00:12Z,Shell,86,379,370,275
code-yeongyu/oh-my-openagent,68173,2025-12-03T01:40:05Z,2026-08-20T23:01:46Z,TypeScript,238,2554,2091,2664
openinterpreter/openinterpreter,68085,2023-07-14T07:10:44Z,2026-08-20T03:35:38Z,Rust,65,1101,1099,438
chartjs/Chart.js,67649,2013-03-17T23:56:36Z,2026-05-27T21:17:31Z,JavaScript,117,7318,6819,3018
BurntSushi/ripgrep,67449,2016-03-11T02:02:33Z,2026-08-04T13:59:44Z,Rust,75,1820,1702,571
colbymchenry/codegraph,67387,2026-01-18T21:45:37Z,2026-08-20T17:53:49Z,C,30,648,489,461
labmlai/annotated_deep_learning_paper_implementations,67322,2020-08-25T02:29:34Z,2026-01-22T04:26:00Z,Python,0,143,115,104
gorhill/uBlock,67166,2015-04-01T17:51:11Z,2026-08-20T15:06:04Z,JavaScript,288,3446,3433,0
apache/echarts,67103,2013-04-03T03:18:59Z,2026-08-04T09:07:09Z,TypeScript,125,19384,18020,1524
headroomlabs-ai/headroom,67014,2026-01-07T19:58:51Z,2026-08-20T18:57:09Z,Python,163,931,686,1468
scikit-learn/scikit-learn,66986,2010-08-17T09:43:38Z,2026-08-20T14:56:33Z,Python,50,12246,10705,14719
bradtraversy/design-resources-for-developers,66709,2020-05-06T14:40:35Z,2026-05-24T10:07:48Z,,0,0,0,978
santifer/career-ops,66616,2026-04-04T18:21:18Z,2026-08-20T21:41:30Z,JavaScript,37,1053,879,1146
sindresorhus/awesome-nodejs,66579,2014-07-11T13:35:34Z,2026-05-03T08:24:10Z,,0,105,102,421
xtekky/gpt4free,66573,2023-03-29T17:00:43Z,2026-08-19T22:51:38Z,Python,504,2048,2046,911
cline/cline,66549,2024-07-06T07:28:10Z,2026-08-20T22:51:00Z,TypeScript,375,4393,3734,4496
leonardomso/33-js-concepts,66510,2018-09-04T13:27:04Z,2026-08-02T14:51:44Z,JavaScript,0,121,120,269
TheAlgorithms/Java,66165,2016-07-16T10:21:02Z,2026-08-20T21:43:50Z,Java,0,1249,1245,2392
facebook/docusaurus,66023,2017-06-20T16:13:53Z,2026-08-20T16:23:01Z,TypeScript,157,3469,3177,5855
webpack/webpack,65971,2012-03-10T10:08:14Z,2026-08-20T19:34:07Z,JavaScript,462,10228,10170,6362
microsoft/AI-For-Beginners,65902,2021-03-03T16:27:36Z,2026-07-21T11:11:48Z,Jupyter Notebook,0,197,185,312
prometheus/prometheus,65766,2012-11-24T11:14:12Z,2026-08-20T15:33:17Z,Go,377,6545,6037,8845
LadybirdBrowser/ladybird,65760,2024-05-30T09:18:10Z,2026-08-20T22:57:56Z,C++,0,1955,1459,8064
dani-garcia/vaultwarden,65712,2018-02-17T22:40:20Z,2026-08-20T20:03:56Z,Rust,85,2752,2737,1167
Fission-AI/OpenSpec,65694,2025-08-05T10:37:45Z,2026-08-20T22:18:20Z,TypeScript,45,601,501,578
kelseyhightower/nocode,65652,2018-02-06T23:54:00Z,2024-08-07T03:19:12Z,Dockerfile,1,4966,737,1
alacritty/alacritty,65437,2016-02-18T05:02:30Z,2026-08-17T19:36:06Z,Rust,108,6346,6016,1937
lydiahallie/javascript-questions,65317,2019-06-12T08:26:27Z,2024-08-04T16:08:40Z,,0,253,233,327
docling-project/docling,65304,2024-07-09T07:50:26Z,2026-08-20T15:03:32Z,Python,207,1971,1074,1140
kdn251/interviews,65221,2017-02-14T18:19:25Z,2025-05-12T12:56:04Z,Java,0,59,24,42
localstack/localstack,65148,2016-10-25T23:48:03Z,2026-03-23T08:52:01Z,Python,106,6178,6178,6814
Mintplex-Labs/anything-llm,64981,2023-06-04T02:29:14Z,2026-08-20T22:13:43Z,JavaScript,34,3745,3453,1570
shanraisshan/claude-code-best-practice,64800,2025-10-31T14:15:28Z,2026-08-20T06:38:39Z,HTML,0,52,48,48
gsd-build/get-shit-done,64667,2025-12-14T14:17:12Z,2026-05-31T17:46:54Z,JavaScript,78,1890,1890,1202
nocodb/nocodb,64602,2017-10-29T18:51:48Z,2026-08-20T18:22:56Z,TypeScript,199,4752,4357,6485
traefik/traefik,64521,2015-09-13T19:04:02Z,2026-08-20T15:04:09Z,Go,553,6830,6136,5527
warpdotdev/warp,64407,2021-07-08T18:48:08Z,2026-08-20T23:06:37Z,Rust,56,10824,7002,2185
tw93/Mole,64371,2025-09-23T06:38:40Z,2026-08-17T19:11:17Z,Shell,61,904,895,335
ryanoasis/nerd-fonts,64325,2014-12-05T04:31:17Z,2026-08-10T11:01:16Z,CSS,39,1158,1143,610
keras-team/keras,64241,2015-03-28T00:35:42Z,2026-08-20T21:10:59Z,Python,93,12877,12740,5213
scrapy/scrapy,63979,2010-02-22T02:01:14Z,2026-08-20T22:03:51Z,Python,53,3302,3039,2821
rust-lang/rustlings,63910,2015-09-15T02:25:18Z,2026-08-11T11:46:06Z,Rust,46,770,746,952
mem0ai/mem0,63703,2023-06-20T08:58:36Z,2026-08-20T17:43:45Z,Python,381,2103,1849,2519
ZhuLinsen/daily_stock_analysis,63498,2026-01-10T06:43:20Z,2026-08-20T17:06:56Z,Python,34,819,781,675
FFmpeg/FFmpeg,63478,2011-04-14T14:12:38Z,2026-08-20T12:53:05Z,C,0,0,0,0
commaai/openpilot,63458,2016-11-24T01:33:30Z,2026-08-20T23:03:47Z,Python,63,3302,3223,13303
tldr-pages/tldr,63442,2013-12-08T07:34:43Z,2026-08-20T16:38:32Z,Markdown,6,1791,1559,19516
asgeirtj/system_prompts_leaks,63251,2025-05-03T02:43:56Z,2026-08-20T09:14:20Z,JavaScript,0,62,41,32
NanmiCoder/MediaCrawler,63237,2023-06-09T12:14:34Z,2026-08-14T08:19:00Z,Python,0,626,466,142
socketio/socket.io,63191,2010-03-11T18:24:48Z,2026-07-24T14:44:59Z,TypeScript,98,3664,3500,450
virattt/ai-hedge-fund,62968,2024-11-29T16:30:01Z,2026-08-07T17:21:58Z,Python,11,279,227,53
resume/resume.github.com,62883,2011-02-06T13:39:55Z,2023-02-15T06:38:51Z,JavaScript,0,131,67,84
jgraph/drawio-desktop,62707,2017-05-25T20:58:42Z,2026-08-20T22:30:45Z,JavaScript,187,1805,1798,42
git/git,62687,2008-07-23T14:21:26Z,2026-08-20T22:20:31Z,C,0,0,0,4
pathwaycom/pathway,62412,2022-11-27T13:01:14Z,2026-08-20T05:39:18Z,Python,89,171,142,30
usememos/memos,62393,2021-12-08T15:30:18Z,2026-08-20T15:37:04Z,Go,96,3043,3019,2081
topjohnwu/Magisk,62316,2016-09-08T12:42:53Z,2026-08-20T21:36:51Z,Kotlin,156,6612,6574,1724
karpathy/nanoGPT,62248,2022-12-28T00:51:12Z,2025-11-12T19:52:34Z,Python,0,363,115,45
youngyangyang04/leetcode-master,62228,2019-12-14T12:05:42Z,2026-08-03T02:57:08Z,Shell,0,281,68,2311
withastro/astro,61898,2021-03-15T17:19:47Z,2026-08-20T22:53:39Z,TypeScript,1000,6557,6534,9244
PlexPt/awesome-chatgpt-prompts-zh,61707,2022-12-12T01:55:03Z,2026-04-28T10:52:14Z,,0,102,62,33
sansan0/TrendRadar,61630,2025-04-28T11:42:16Z,2026-07-17T13:54:28Z,Python,0,496,460,2
reduxjs/redux,61509,2015-05-29T23:53:15Z,2026-08-20T02:41:39Z,TypeScript,78,2077,2038,1767
FuelLabs/sway,61495,2021-01-19T20:54:33Z,2026-08-14T14:48:39Z,Rust,189,3317,2437,3715
minio/minio,61384,2015-01-14T19:23:58Z,2026-04-24T17:54:39Z,Go,521,7885,7841,9882
2dust/v2rayNG,61373,2019-05-15T02:15:31Z,2026-08-20T09:26:44Z,Kotlin,308,4072,4061,670
lodash/lodash,61289,2012-04-07T04:11:46Z,2026-07-03T19:48:01Z,JavaScript,4,4362,4308,644
RVC-Boss/GPT-SoVITS,61089,2024-01-14T18:05:21Z,2026-08-18T09:16:25Z,Python,4,2045,1255,367
pbakaus/impeccable,61066,2025-11-16T01:52:04Z,2026-08-20T18:38:41Z,JavaScript,45,238,188,270
upstash/context7,61025,2025-03-26T23:40:39Z,2026-08-20T10:12:45Z,TypeScript,105,2247,2227,483
Solido/awesome-flutter,60967,2017-05-07T11:45:27Z,2026-04-21T19:06:09Z,Dart,0,0,0,452
ChrisTitusTech/winutil,60934,2022-04-28T02:25:19Z,2026-08-19T22:25:17Z,PowerShell,46,2378,2365,1471
tw93/Pake,60932,2022-10-14T09:32:57Z,2026-08-15T14:51:04Z,Rust,51,568,568,162
1c7/chinese-independent-developer,60881,2017-09-21T11:08:23Z,2026-08-20T06:14:32Z,Python,0,362,361,744
h5bp/Front-end-Developer-Interview-Questions,60873,2012-02-09T23:34:10Z,2026-06-16T23:06:47Z,Nunjucks,0,185,143,485
xingshaocheng/architect-awesome,60840,2018-04-06T13:30:58Z,2024-04-11T11:32:12Z,,0,71,23,49
coollabsio/coolify,60817,2021-01-25T20:54:01Z,2026-08-20T20:29:31Z,PHP,692,3980,3447,2799
ultralytics/ultralytics,60806,2022-09-11T16:39:45Z,2026-08-20T18:59:45Z,Python,452,12894,12851,5465
atom/atom,60779,2012-01-20T18:18:21Z,2023-01-03T10:49:48Z,JavaScript,538,17111,16149,3937
nuxt/nuxt,60769,2016-10-26T11:18:47Z,2026-08-20T15:20:28Z,TypeScript,291,17485,17120,8314
pocketbase/pocketbase,60745,2022-07-05T06:06:21Z,2026-08-19T18:43:11Z,Go,284,2039,2020,55
microsoft/autogen,60544,2023-08-18T11:43:45Z,2026-04-15T11:59:09Z,Python,98,3077,2519,2537
pi-hole/pi-hole,60510,2014-06-08T15:02:55Z,2026-08-04T11:14:35Z,Shell,126,3147,3125,2237
marktext/marktext,60362,2017-11-12T16:05:25Z,2026-07-27T03:16:54Z,TypeScript,47,3452,2828,1371
adam-p/markdown-here,60249,2012-05-13T03:27:22Z,2025-08-22T00:21:50Z,JavaScript,17,635,334,27
sharkdp/bat,60230,2018-04-21T10:52:23Z,2026-08-11T14:39:20Z,Rust,43,1629,1303,1665
byoungd/up,60214,2017-05-30T07:18:52Z,2026-08-17T05:04:19Z,JavaScript,0,132,102,31
spring-projects/spring-framework,60204,2010-12-08T04:04:45Z,2026-08-20T16:32:49Z,Java,365,28353,27990,945
CorentinJ/Real-Time-Voice-Cloning,60093,2019-05-26T08:56:15Z,2026-03-09T10:31:58Z,Python,0,1122,953,51
ghostty-org/ghostty,59971,2022-03-29T17:38:26Z,2026-08-20T22:46:34Z,Zig,1,2256,2116,4501
jquery/jquery,59774,2009-04-03T15:20:14Z,2026-08-20T15:09:49Z,JavaScript,13,2393,2320,903
shadowsocks/shadowsocks-windows,59570,2013-01-14T07:54:16Z,2025-01-01T08:09:55Z,C#,55,2918,2729,290
meta-llama/llama,59568,2023-02-14T09:29:12Z,2025-01-26T21:42:26Z,Python,0,1127,654,54
termux/termux-app,59500,2015-10-23T09:42:46Z,2026-07-14T20:47:14Z,Java,95,3152,2654,178
starship/starship,59499,2019-04-02T03:23:12Z,2026-08-17T16:16:09Z,Rust,141,2711,1909,3204
FiloSottile/mkcert,59472,2018-06-25T05:33:03Z,2024-08-13T13:37:46Z,Go,14,359,242,53
rclone/rclone,59282,2014-03-16T16:19:57Z,2026-08-20T14:50:58Z,Go,131,6177,5198,2490
meilisearch/meilisearch,59032,2018-04-23T11:45:28Z,2026-08-14T09:38:01Z,Rust,330,2474,2231,2532
pathwaycom/llm-app,59021,2023-07-19T08:43:37Z,2026-07-05T17:59:07Z,Jupyter Notebook,0,20,15,50
penpot/penpot,58943,2015-12-29T22:09:07Z,2026-08-20T22:35:23Z,Clojure,85,3146,2477,6936
rust-unofficial/awesome-rust,58910,2014-07-17T10:45:10Z,2026-08-20T08:15:22Z,Rust,0,150,143,1920
mvanhorn/last30days-skill,58810,2026-01-23T20:37:37Z,2026-08-20T07:31:53Z,Python,41,244,158,471
rails/rails,58699,2008-04-11T02:19:47Z,2026-08-20T20:33:05Z,Ruby,168,18657,18167,26870
tiimgreen/github-cheat-sheet,58638,2014-04-12T16:38:42Z,2024-04-15T20:15:56Z,,0,77,49,129
pmndrs/zustand,58589,2019-04-09T09:10:06Z,2026-08-19T13:05:32Z,TypeScript,105,697,695,929
angular/angular.js,58535,2010-01-06T00:34:37Z,2024-04-12T17:43:16Z,JavaScript,0,9033,8644,790
MemPalace/mempalace,58501,2026-04-05T01:12:07Z,2026-08-20T16:56:35Z,Python,15,791,465,631
FoundationAgents/OpenManus,58029,2025-03-06T14:08:14Z,2026-08-16T10:36:18Z,Python,3,754,473,116
ultralytics/yolov5,57909,2020-05-18T03:45:11Z,2026-08-20T22:29:40Z,Python,10,9443,9413,2321
h5bp/html5-boilerplate,57599,2010-01-24T18:03:24Z,2026-08-10T23:11:22Z,JavaScript,34,1366,1359,846
scutan90/DeepLearning-500-questions,57544,2018-06-27T06:36:45Z,2024-06-26T12:10:14Z,JavaScript,0,192,81,302
go-gitea/gitea,57524,2016-11-01T02:13:26Z,2026-08-20T23:06:45Z,Go,235,15966,13617,19748
deepfakes/faceswap,57468,2017-12-19T09:44:13Z,2026-08-05T11:39:37Z,Python,5,909,899,370
zylon-ai/private-gpt,57448,2023-05-02T09:15:31Z,2026-08-20T14:21:26Z,Python,14,1241,1240,310
crewAIInc/crewAI,57395,2023-10-27T03:26:59Z,2026-08-20T21:59:37Z,Python,231,2126,2011,2130
karpathy/nanochat,57353,2025-10-13T13:46:35Z,2026-08-02T21:05:23Z,Python,0,139,117,84
wasabeef/awesome-android-ui,57261,2014-12-24T01:45:03Z,2026-06-05T05:39:52Z,,0,117,95,91
Textualize/rich,57100,2019-11-10T15:28:09Z,2026-06-23T03:10:19Z,Python,177,1526,1289,869
appwrite/appwrite,57064,2019-04-08T16:36:25Z,2026-08-20T17:13:11Z,TypeScript,132,4471,3950,5264
remotion-dev/remotion,56922,2020-06-23T19:49:10Z,2026-08-20T17:41:50Z,TypeScript,673,3716,3540,6153
FuelLabs/fuel-core,56898,2020-08-27T21:12:14Z,2026-08-20T21:56:36Z,Rust,130,1161,999,1657
soimort/you-get,56872,2012-08-20T15:53:36Z,2026-07-25T08:02:33Z,Python,123,0,0,582
BerriAI/litellm,56858,2023-07-27T00:09:52Z,2026-08-20T23:07:24Z,Python,1000,12232,10547,14617
ageitgey/face_recognition,56672,2017-03-03T21:52:39Z,2026-06-25T11:12:50Z,Python,2,1379,604,95
remix-run/react-router,56562,2014-05-16T22:22:51Z,2026-08-20T20:32:19Z,TypeScript,344,8392,8294,3652
golang-standards/project-layout,56479,2017-09-09T16:33:26Z,2026-04-28T17:18:05Z,Makefile,0,116,44,98
makeplane/plane,56467,2022-11-19T12:55:01Z,2026-08-20T12:41:51Z,TypeScript,63,1914,1116,6446
usestrix/strix,56184,2025-08-05T21:28:30Z,2026-08-20T22:19:05Z,Python,26,320,191,372
Zie619/n8n-workflows,56158,2025-05-14T08:43:59Z,2026-06-24T14:16:03Z,Python,1,105,80,34
laurent22/joplin,56028,2017-01-16T21:49:41Z,2026-08-20T19:26:29Z,TypeScript,418,8242,7633,5998
jellyfin/jellyfin,55995,2018-12-09T06:36:45Z,2026-08-20T22:10:56Z,C#,112,8692,8314,5627
gatsbyjs/gatsby,55943,2015-05-21T22:43:05Z,2026-08-20T20:50:14Z,JavaScript,158,14128,13910,18304
Raphire/Win11Debloat,55781,2020-10-27T22:26:59Z,2026-08-16T20:49:09Z,PowerShell,37,388,356,130
azl397985856/leetcode,55758,2018-03-30T09:13:51Z,2025-07-16T09:42:17Z,JavaScript,40,258,248,257
firstcontributions/first-contributions,55584,2016-09-20T14:35:09Z,2026-08-20T21:36:33Z,,0,1514,1497,103403
typst/typst,55548,2019-09-24T21:41:56Z,2026-08-17T13:16:08Z,Rust,30,4496,3282,2495
FlowiseAI/Flowise,55384,2023-03-31T12:23:09Z,2026-08-13T12:38:19Z,TypeScript,85,2673,1973,1820
twentyhq/twenty,55205,2022-12-01T13:04:40Z,2026-08-20T22:16:44Z,TypeScript,102,6848,6733,14087
AntonOsika/gpt-engineer,55130,2023-04-29T12:52:15Z,2025-05-14T10:15:10Z,Python,21,503,471,351
PowerShell/PowerShell,55020,2016-01-13T23:41:35Z,2026-08-20T21:18:19Z,C#,214,13557,12270,8471
romkatv/powerlevel10k,54947,2019-02-24T19:09:45Z,2026-08-15T09:23:06Z,Shell,33,2620,2492,170
ngosang/trackerslist,54919,2016-04-24T11:57:57Z,2026-08-20T22:09:50Z,,0,539,528,1
jingyaogong/minimind,54883,2024-07-27T04:34:12Z,2026-08-06T14:08:38Z,Python,2,634,608,12
TryGhost/Ghost,54826,2013-05-04T11:09:13Z,2026-08-20T23:04:56Z,JavaScript,1000,7328,7299,18470
facebookresearch/segment-anything,54730,2023-03-23T17:03:03Z,2024-09-18T17:46:55Z,Jupyter Notebook,0,718,182,16
WerWolv/ImHex,54523,2020-11-10T14:27:00Z,2026-08-20T20:59:39Z,C++,82,1647,1292,782
wagoodman/dive,54481,2018-05-13T15:44:01Z,2025-12-15T17:20:36Z,Go,28,375,206,164
lencx/ChatGPT,54448,2022-12-07T09:43:02Z,2024-08-29T17:58:11Z,Rust,34,1280,373,123
maybe-finance/maybe,54321,2024-01-01T22:23:46Z,2025-07-24T22:20:44Z,Ruby,28,0,0,1073
psf/requests,54243,2011-02-13T18:38:17Z,2026-08-17T19:03:16Z,Python,19,4173,4026,1697
vuejs/core,54220,2018-06-12T13:49:36Z,2026-08-20T08:59:08Z,TypeScript,292,6085,5526,4067
agalwood/Motrix,54156,2018-12-18T11:45:05Z,2026-08-20T17:27:35Z,TypeScript,29,1383,611,238
ElemeFE/element,54057,2016-09-03T06:19:26Z,2024-08-20T07:40:13Z,Vue,145,17891,15246,3228
odoo/odoo,53825,2014-05-13T15:38:58Z,2026-08-20T23:07:26Z,Python,0,19127,15363,6183
google/material-design-icons,53789,2014-10-08T18:01:28Z,2026-08-14T03:02:13Z,,16,1596,1186,50
mozilla/pdf.js,53760,2011-04-26T06:32:03Z,2026-08-20T20:22:38Z,JavaScript,88,10565,10199,9229
necolas/normalize.css,53518,2011-05-04T10:20:25Z,2024-06-12T20:36:06Z,CSS,0,518,471,56
freqtrade/freqtrade,53473,2017-05-17T23:48:53Z,2026-08-20T18:51:41Z,Python,116,5654,5631,6696
JetBrains/kotlin,53356,2012-02-13T17:29:58Z,2026-08-20T23:05:55Z,Kotlin,300,0,0,3627
chinese-poetry/chinese-poetry,53194,2016-09-02T03:32:25Z,2026-06-17T01:56:08Z,JavaScript,1,218,92,138
vsouza/awesome-ios,53116,2014-07-10T16:03:45Z,2026-06-24T14:58:10Z,Swift,0,500,494,2256
ggml-org/whisper.cpp,53061,2022-09-25T18:26:37Z,2026-08-20T13:59:55Z,C++,40,1963,895,1026
aaif-goose/goose,53060,2024-08-23T19:03:36Z,2026-08-20T23:04:00Z,Rust,146,2808,2642,5951
microsoft/VibeVoice,53017,2025-08-25T13:24:01Z,2026-07-24T09:24:29Z,Python,0,243,118,41
lyswhut/lx-music-desktop,52928,2019-08-14T14:31:08Z,2026-08-04T16:14:05Z,TypeScript,113,2529,1306,101
dockur/windows,52917,2024-01-14T13:09:40Z,2026-08-20T22:38:48Z,Shell,126,1035,1017,912
sickcodes/Docker-OSX,52867,2020-06-04T11:01:37Z,2025-11-11T05:23:57Z,Shell,0,686,289,109
hesreallyhim/awesome-claude-code,52721,2025-04-19T20:55:59Z,2026-08-20T21:08:26Z,Python,0,2031,1138,221
ionic-team/ionic-framework,52621,2013-08-20T23:06:02Z,2026-08-20T20:49:00Z,TypeScript,950,22198,21629,6801
jesseduffield/lazydocker,52560,2019-05-18T08:53:50Z,2026-04-19T02:51:06Z,Go,47,413,216,195
lllyasviel/Fooocus,52448,2023-08-09T18:43:40Z,2025-12-01T19:17:07Z,Python,21,1668,1421,448
prettier/prettier,52207,2016-11-29T17:13:37Z,2026-08-20T13:03:37Z,JavaScript,144,7326,6163,10242
xai-org/grok-1,52159,2024-03-17T08:53:38Z,2024-08-30T04:17:25Z,Python,0,0,0,5
etcd-io/etcd,52139,2013-07-06T21:57:21Z,2026-08-20T17:37:09Z,Go,292,7248,7132,10620
bmad-code-org/BMAD-METHOD,52117,2025-04-13T14:54:25Z,2026-08-20T13:46:24Z,JavaScript,39,1078,975,842
VoltAgent/awesome-openclaw-skills,52088,2026-01-25T09:22:32Z,2026-08-20T07:44:35Z,,0,84,84,150
diegosouzapw/OmniRoute,51957,2026-02-13T12:38:31Z,2026-08-20T23:04:21Z,TypeScript,279,3604,3329,5629
anthropics/claude-cookbooks,51918,2023-08-15T20:23:51Z,2026-08-19T20:42:54Z,Jupyter Notebook,0,213,138,198
google/guava,51887,2014-05-29T16:23:17Z,2026-08-20T16:28:35Z,Java,60,3669,3051,1441
dkhamsing/open-source-ios-apps,51782,2015-01-26T23:32:34Z,2026-08-20T14:42:39Z,,37,357,357,1715
run-llama/llama_index,51773,2022-11-02T04:24:54Z,2026-08-20T15:46:41Z,Python,433,7255,7079,7948
expo/expo,51717,2016-08-15T17:14:25Z,2026-08-20T22:59:05Z,TypeScript,0,19292,19002,23883
Avik-Jain/100-Days-Of-ML-Code,51661,2018-07-05T09:11:43Z,2023-12-29T07:57:53Z,,0,0,0,6
jekyll/jekyll,51640,2008-10-20T06:29:03Z,2026-08-03T17:55:37Z,Ruby,112,4939,4809,3205
dbeaver/dbeaver,51487,2015-10-21T08:26:28Z,2026-08-20T20:32:20Z,Java,254,20514,17285,7368
poteto/hiring-without-whiteboards,51435,2017-03-15T05:09:01Z,2026-06-06T02:10:59Z,JavaScript,0,0,0,1335
charlax/professional-programming,51434,2015-11-07T05:07:52Z,2026-07-15T15:55:09Z,Python,0,33,32,44
DefinitelyTyped/DefinitelyTyped,51381,2012-10-05T16:39:45Z,2026-08-20T21:53:11Z,TypeScript,1,8118,7561,53496
ethereum/go-ethereum,51299,2013-12-26T13:05:46Z,2026-08-20T08:58:15Z,Go,232,8717,8520,9279
justjavac/wechat-miniapp-radar,51182,2016-09-22T20:04:48Z,2026-08-07T01:04:58Z,TypeScript,0,35,35,313
Semantic-Org/Semantic-UI,51027,2013-04-08T23:32:04Z,2024-11-27T21:01:48Z,JavaScript,154,6233,5269,356
cypress-io/cypress,50978,2015-03-04T00:46:28Z,2026-08-20T22:31:24Z,TypeScript,402,15573,14552,8859
jamiepine/voicebox,50964,2026-01-25T12:27:03Z,2026-08-09T00:03:42Z,TypeScript,25,682,191,147
CherryHQ/cherry-studio,50841,2024-05-24T01:56:26Z,2026-08-20T22:27:51Z,TypeScript,277,11209,10301,4978
bannedbook/fanqiang,50422,2015-01-14T00:34:25Z,2026-08-20T07:14:55Z,Kotlin,3,836,502,3
nlohmann/json,50414,2013-07-04T08:47:49Z,2026-08-20T23:02:06Z,C++,45,2409,2374,1159
mastodon/mastodon,50233,2016-02-22T15:01:25Z,2026-08-20T19:58:51Z,Ruby,361,13104,8780,20655
TanStack/query,50173,2019-09-10T19:23:58Z,2026-08-20T17:08:06Z,TypeScript,1000,2348,2291,3834
skylot/jadx,50144,2013-03-18T17:08:21Z,2026-08-19T18:52:12Z,Java,35,2119,1690,654
serhii-londar/open-source-mac-os-apps,50102,2017-11-03T02:35:33Z,2026-08-20T20:45:48Z,,0,234,211,615
AlistGo/alist,50066,2020-12-23T17:40:29Z,2026-08-05T08:04:29Z,Go,149,4496,3974,974
